HomeTeam,AwayTeam,Date,FTHG,FTAG,FTR,Year,FTR1,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
Coventry,Southampton,22-12-2000,1,1,NH,2000,D,0.833333333,1.111111111,W,L,D,W,L,L,-0.888888889,-0.333333333,-0.166666667,-1
Charlton,Everton,23-12-2000,1,0,H,2000,H,1.157894737,1.157894737,L,D,L,D,L,L,-0.263157895,-0.473684211,-0.157894737,5
Chelsea,Bradford,23-12-2000,3,0,H,2000,H,1.210526316,0.631578947,L,W,W,L,D,W,0.368421053,-0.894736842,0.052631579,-12
Derby,Newcastle,23-12-2000,2,0,H,2000,H,0.842105263,1.421052632,W,L,W,W,L,D,-0.736842105,-0.105263158,0.105263158,5
Leeds,Aston Villa,23-12-2000,1,2,NH,2000,A,1.315789474,1.526315789,L,W,L,W,D,D,0,0.315789474,-0.052631579,-3
Leicester,West Ham,23-12-2000,2,1,H,2000,H,1.684210526,1.368421053,W,L,W,D,D,W,0.315789474,0.263157895,-0.105263158,-1
Liverpool,Arsenal,23-12-2000,4,0,H,2000,H,1.578947368,1.842105263,W,L,W,D,W,W,0.473684211,0.842105263,-0.052631579,2
Man United,Ipswich,23-12-2000,2,0,H,2000,H,2.105263158,1.736842105,L,D,W,W,W,L,1.578947368,0.473684211,-0.105263158,-17
Sunderland,Man City,23-12-2000,1,0,H,2000,H,1.526315789,0.947368421,L,W,W,D,W,L,0,-0.368421053,0.421052632,-11
Tottenham,Middlesbrough,23-12-2000,0,0,NH,2000,D,1.315789474,0.736842105,D,D,L,W,L,L,-0.052631579,-0.421052632,0.210526316,-2
Arsenal,Leicester,26-12-2000,6,1,H,2000,H,1.842105263,1.684210526,D,W,W,W,L,W,0.842105263,0.315789474,-0.105263158,-6
Aston Villa,Man United,26-12-2000,0,1,NH,2000,A,1.45,2.15,L,W,D,W,L,D,0.25,1.6,-0.2,5
Bradford,Sunderland,26-12-2000,1,4,NH,2000,A,0.6,1.6,L,L,D,W,L,W,-1,0.05,-0.35,10
Everton,Coventry,26-12-2000,1,2,NH,2000,A,1.1,0.8,L,D,L,D,L,W,-0.5,-0.85,-0.05,-1
Ipswich,Chelsea,26-12-2000,2,2,NH,2000,D,1.65,1.3,L,W,W,W,L,W,0.35,0.5,0,13
